page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading,Sexual_Misconduct
65,NULL," Performance Nutrition, Inc. 
								  
",Dismissed,1996-10-01,1998-11-06,NULL," Healthcare"," Biotechnology & Drugs"," PNII"," Public (Listed)"," United States"," OTC-BB"," N.D. Texas"," 96-CV-2754"," Robert B.",1996-10-01,1994-03-08,1996-09-04,"Edward Dietrich10940 Wilshire Blvd; Suite 2300, Edward Dietrich, CA 90024310.209.2468  · "," N.D. Texas"," 96-CV-2754"," Hon. Robert B. Maloney",1998-04-17,1994-03-08,1996-09-04,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,NULL," Philip Services Corporation 
								  
",Settled,1998-02-05,2007-03-26,NULL," Services"," Waste Management Services"," PHV"," Public (Listed)"," Canada"," New York SE"," S.D. New York"," 98-CV-835"," Michael B",1998-02-05,1997-05-21,1998-01-26,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," S.D. New York"," 98-CV-835"," Hon. Michael B. Mukasey",1998-09-14,1997-05-21,1998-01-26,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
67,NULL," PHP Healthcare Corporation 
								  
",Settled,1998-03-09,2004-04-27,NULL," Healthcare"," Healthcare Facilities"," PPH"," Public (Listed)"," United States"," New York SE"," C.D. California"," 98-CV-1658"," Mariana R",1998-03-09,1995-12-11,1997-03-10,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," C.D. California"," 98-CV-1658"," Hon. Mariana R. Pfaelzer",2001-08-13,1995-12-11,1997-03-10,1998,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,1,NULL,1,NULL,1,NULL
68,NULL," PhyCor, Inc. 
								  
",Settled,1998-09-09,2002-07-29,NULL," Healthcare"," Healthcare Facilities"," PHYC"," Public (Listed)"," United States"," NASDAQ"," M.D. Tennessee"," 98-CV-00834","strate Jud",1998-09-09,1997-04-22,1998-07-22,"Barrett, Johnston & Parsley217 Second Avenue, N, Barrett, Johnston & Parsley, TN 37201615.244.2202  · "," M.D. Tennessee"," 98-CV-00834"," Magistrate Judge Joe B. Brown",1999-04-09,1997-04-22,1998-09-22,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
69,NULL," Physicians Resource Group, Inc. 
								  
",Dismissed,1997-12-18,2006-09-30,NULL," Services"," Real Estate Operations"," PRG"," Public (Listed)"," United States"," New York SE"," N.D. Texas"," 97-CV-3102"," Jane J Bo",1997-12-18,1997-06-17,1997-11-19,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," N.D. Texas"," 97-CV-3102"," Hon. Jane J Boyle",2002-03-20,1995-09-15,1997-11-19,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL
70,NULL," PictureTel Corporation 
								  
",Settled,1997-09-25,1999-11-09,NULL," Technology"," Communications Equipment"," PCTL"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 97-CV-12135"," Douglas P",1997-09-25,1996-10-17,1997-09-18,"Shapiro Haber & Urmy LLP (Boston)75 State Street, Shapiro Haber & Urmy LLP (Boston), MA 02109617.439.3939 617.439.0134 · info@shulaw.com"," D. Massachusetts"," 97-CV-12135"," Hon. Douglas P. Woodlock",1998-06-23,1996-10-16,1997-09-19,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,NULL," PLC Systems, Inc. 
								  
",Settled,1997-08-01,2001-02-12,NULL," Healthcare"," Medical Equipment & Supplies"," PLC"," Public (Listed)"," United States"," Amex Emerging Co."," D. Massachusetts"," 97-CV-11737"," Richard G",1997-08-01,1996-08-15,1997-07-25,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," D. Massachusetts"," 97-CV-11737"," Hon. Richard G. Stearns",1998-02-13,1996-08-15,1997-07-25,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,NULL," Powerwave Technologies, Inc. 
								  
",Settled,1998-07-16,2000-08-21,NULL," Technology"," Communications Equipment"," PWAV"," Public (Listed)"," United States"," NASDAQ"," C.D. California"," 98-CV-00605"," Gary L. T",1998-07-16,1997-06-04,1998-01-16,"Barrack, Rodos & Bacine (San Diego - former)402 West Broadway , Barrack, Rodos & Bacine (San Diego - former), CA 92101619.230.0800 619.230.1874 · info@barrack.com"," C.D. California"," 98-CV-00605"," Hon. Gary L. Taylor",1998-12-01,1997-06-04,1998-01-16,1998,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,NULL," TCSI Corporation 
								  
",Settled,1997-09-24,1999-10-21,NULL," Technology"," Computer Networks"," TCSI"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 97-CV-3495"," Saundra B",1997-09-24,1995-10-11,1996-09-25,"James V. Bashian500 Fifth Ave Ste 2800, James V. Bashian, NY 10110  · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
132,NULL," TIG Holdings, Inc. 
								  
",Settled,1998-02-13,2002-02-22,NULL," Financial"," Insurance (Prop. & Casualty)"," TIG"," Public (Listed)"," United States"," New York SE"," S.D. New York"," 98-CV-01068"," Thomas P.",1998-02-13,1997-10-21,1998-01-30,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," S.D. New York"," 98-CV-01068"," Hon. Thomas P. Griesa",1999-12-06,1997-10-21,1998-01-30,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
133,NULL," Telxon Corporation 
								  
",Settled,1998-12-11,2004-02-13,NULL," Technology"," Computer Hardware"," TLXN"," Public (Listed)"," United States"," NASDAQ"," N.D. Ohio"," 98-CV-2876"," Kathleen ",1998-12-11,1998-10-21,1998-12-10,"Hahn, Loeser & Parks1050 Fifth Third Center 21 East State Street, Hahn, Loeser & Parks, OH 43215-4224614.221.0240 614.221.5909 · "," N.D. Ohio"," 98-CV-2876",No_judge_found,2000-02-29,1996-05-21,1999-02-23,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
134,NULL," Technical Chemicals & Products, Inc. (now TCPI, Inc.) 
								  
",Settled,1998-11-25,2003-12-16,NULL," Healthcare"," Biotechnology & Drugs"," TCPI"," Public (Listed)"," United States"," NASDAQ"," S.D. Florida"," 98-CV-7334"," Edward B.",1998-11-25,1995-11-27,1998-10-06,"Burt & Pucillo LLP515 North Flagler Drive, Northbridge Centre, Suite 1701, Burt & Pucillo LLP, FL 33401800.349.4612  · "," S.D. Florida"," 98-CV-7334"," Hon. Edward B. Davis",2000-07-24,1995-11-27,1998-10-06,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL
136,NULL," Premiere Technologies, Inc. 
								  
",Settled,1998-06-25,2002-07-16,NULL," Services"," Communications Services"," PTEK"," Public (Listed)"," United States"," NASDAQ"," N.D. Georgia"," 98-CV-1804"," J. Owen F",1998-06-25,1997-04-02,1998-06-10,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," N.D. Georgia"," 98-CV-1804"," Hon. J. Owen Forrester",1999-03-10,1997-02-11,1998-06-10,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,NULL," Presstek, Inc. 
								  
",Settled,1996-06-28,2000-06-26,NULL," Capital Goods"," Misc. Capital Goods"," PRST"," Public (Listed)"," United States"," NASDAQ"," D. New Hampshire"," 96-CV-00347"," Steven J.",1996-06-28,1996-02-27,1996-06-17,"Kenna, Johnston & Sharkey69 Bay Street, Kenna, Johnston & Sharkey, NH 3104622.322.2000  · "," D. New Hampshire"," 96-CV-00347"," Hon. Steven J. McAuliffe",1998-02-20,1996-02-27,1996-06-17,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
138,NULL," PRINS Recycling Corporation 
								  
",Settled,1996-05-29,2000-06-05,NULL," Services"," Waste Management Services"," PRNS"," Public (Listed)"," United States"," NASDAQ"," D. New Jersey"," 96-CV-2444"," William H",1996-05-29,1995-04-20,1996-04-04,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. New Jersey"," 96-CV-2444"," Hon. William H. Walls",1998-07-24,1995-04-20,1996-04-04,1996,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,NULL
139,NULL," Ardent Software  
								  
",Dismissed,1997-12-24,1998-04-20,NULL," Technology"," Software & Programming"," PRZM"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 97-CV-4682"," Fern M. S",1997-12-24,1996-03-14,1996-10-14,"James V. Bashian500 Fifth Ave Ste 2800, James V. Bashian, NY 10110  · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL
140,NULL," Prison Realty Trust, Inc. 
								  
",Settled,1999-05-26,2001-02-12,NULL," Services"," Real Estate Operations"," PZN"," Public (Listed)"," United States"," New York SE"," M.D. Tennessee"," 99-CV-00452","strate Jud",1999-05-26,1998-10-16,1999-05-14,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," M.D. Tennessee"," 99-CV-00452"," Magistrate Judge William J. Haynes, Jr.",1999-11-04,1999-01-01,1999-05-14,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,1,NULL,NULL
141,NULL," ProNet, Inc. 
								  
",Settled,1996-06-27,1997-11-21,NULL," Technology"," Communications Equipment"," PNET"," Public (Listed)"," United States"," NASDAQ"," N.D. Texas"," 96-CV-1795"," Jorge A. ",1996-06-27,1996-05-30,1996-06-24,"Kahn & Associates, Ltd. One Northfield Plaza Suite 100, Kahn & Associates, Ltd. , IL 60093-1211847/501.5083  · "," N.D. Texas"," 96-CV-1795"," Hon. Jorge A. Solis",1997-02-10,1996-05-30,1996-06-24,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,1,NULL,NULL
143,NULL," Putnam Convertible Opportunities and Income Trust 
								  
",Dismissed,1996-06-25,1998-04-27,NULL," Financial"," Other (Mutual Fund)"," PCV"," Public (Listed)"," United States"," New York SE"," S.D. New York"," 96-CV-4810"," Robert P.",1996-06-25,1995-06-26,1996-06-25,"Rabin & Garland275 Madison Ave - 34th Flr, Rabin & Garland, NY 10016212.682.1818  · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL
144,NULL," Hart Brewing, Inc.  
								  
",Dismissed,1996-06-14,1998-06-30,NULL," Consumer Non-Cyclical"," Beverages (Alcoholic)"," HOPS"," Public (Listed)"," United States"," NASDAQ"," S.D. California"," 96-CV-1077"," Judith N.",1996-06-14,1995-12-13,1996-06-14,"Krause Kalfayan Benink & Slavens, LLP (San Diego)1010 Second Avenue, Suite 1750, Krause Kalfayan Benink & Slavens, LLP (San Diego), CA 92101619.232.0331 619.232.4019 · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
145,NULL," USN Communications 
								  
",Settled,1998-11-12,2000-11-13,NULL," Services"," Communications Services"," USNC"," Public (Listed)"," United States"," NASDAQ"," N.D. Illinois"," 98-CV-8088"," David N. ",1998-11-12,1998-02-04,1998-11-03,"Lowey, Dannenberg, Bemporad & Selinger, P.C.1 North Lexington Avenue, 11th Floor, Lowey, Dannenberg, Bemporad & Selinger, P.C., NY 10601-1714914.997.0500 914.997.0035 · ldbs@wesetnet.com"," N.D. Illinois"," 98-CV-7482 "," Hon. David N. Edelstein",1999-06-17,1998-02-04,1998-11-03,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL
146,NULL," ValuJet Airlines, Inc. 
								  
",Settled,1996-05-30,1999-11-01,NULL," Transportation"," Airline"," VJET"," Public (Listed)"," United States"," NASDAQ"," N.D. Georgia"," 96-CV-1355"," Jack T. C",1996-05-30,1995-06-08,1996-05-30,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," N.D. Georgia"," 96-CV-1355"," Hon. Jack T. Camp",1996-10-18,1995-06-09,1996-06-17,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,NULL," VanStar Corporation 
								  
",Settled,1998-01-21,2001-07-30,NULL," Technology"," Computer Services"," VST"," Public (Listed)"," United States"," New York SE"," N.D. California"," 98-CV-216"," Martin J.",1998-01-21,1996-03-11,1997-01-23,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," N.D. California"," 98-CV-216"," Hon. Martin J. Jenkins",1999-03-11,1996-03-11,1997-03-14,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,NULL," The Vantive Corporation 
								  
",Dismissed,1999-07-06,2002-06-03,NULL," Technology"," Software & Programming"," VNTV"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 99-CV-3248"," William H",1999-07-06,1997-04-23,1998-07-06,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," N.D. California"," 99-CV-3248"," Hon. William H. Orrick",1999-11-15,1997-04-23,1998-07-06,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,NULL," Vencor, Inc. 
								  
",Settled,1997-12-24,2002-05-16,NULL," Healthcare"," Healthcare Facilities"," VC"," Public (Listed)"," United States"," New York SE"," W.D. Kentucky"," 97-CV-00835"," Charles R",1997-12-24,1997-02-10,1997-10-21,"Middleton & Reutlinger2500 Brown and Williamson Tower, Middleton & Reutlinger, KY 40202502584.1135 502.561.0442 · "," W.D. Kentucky"," 97-CV-00835"," Hon. Charles R. Simpson III",1998-07-27,1997-02-10,1997-10-21,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
