page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading
512,NULL," Schick Technologies, Inc. 
								  
",Settled,1998-12-21,2002-02-12,NULL," Healthcare"," Medical Equipment & Supplies"," SCHK"," Public (Listed)"," United States"," NASDAQ"," E.D. New York"," 98-CV-07802"," Hon. Joan",1998-12-21,1998-02-04,1998-12-10,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," E.D. New York"," 98-CV-07802"," Hon. Joanna Seybert",1999-11-24,1997-07-01,1999-02-19,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
513,NULL," Schlotzsky's, Inc. 
								  
",Settled,1998-08-26,2002-04-03,NULL," Services"," Restaurants"," BUNZ"," Public (Listed)"," United States"," NASDAQ"," W.D. Texas"," 98-CV-550"," Hon. Jame",1998-08-26,1997-04-29,1998-04-05,"Bernstein Litowitz Berger & Grossmann LLP (Former New York)1285 Avenue of the Americas, 33rd Floor, Bernstein Litowitz Berger & Grossmann LLP (Former New York), NY 10019212.554.1400 212.554.1444 · blbg@blbglaw.com"," W.D. Texas"," 98-CV-550"," Hon. James R. Nowlin",2001-03-05,1997-04-29,1998-04-05,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
514,NULL," CPS Systems, Inc. 
								  
",Settled,1998-11-30,2003-05-21,NULL," Transportation"," Misc. Transportation"," SYS"," Public (Listed)"," United States"," American SE"," N.D. Texas"," 98-CV-2804"," Hon. A. J",1998-11-30,1998-03-25,1998-11-04,"Gilman & Pastor LLP (Saugus)Stonehill Corporate Center 999 Broadway Suite 500, Gilman & Pastor LLP (Saugus), MA 01906781.231.7850 781.231.7840 · "," N.D. Texas"," 98-CV-2804"," Hon. A. Joe Fish",2000-10-30,1998-03-25,1998-11-04,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL
515,NULL," Cabletron Systems, Inc. 
								  
",Settled,1997-10-27,2007-01-24,NULL," Technology"," Computer Networks"," CS"," Public (Listed)"," United States"," New York SE"," D. New Hampshire"," 97-CV-542"," Hon. Shan",1997-10-27,1997-03-03,1997-10-27,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC)1100 New York Avenue, N.W., Suite 500, West Tower, Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC), DC 20005202.408.4600 202.408.4699 · lawinfo@cmht.com"," D. New Hampshire"," 97-CV-542"," Hon. Shane Devine",1999-01-22,1997-03-03,1997-12-02,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
516,NULL," Scholastic Corporation 
								  
",Settled,1997-04-07,2003-04-08,NULL," Services"," Printing & Publishing"," SCHL"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 97-CV-2447"," Hon. John",1997-04-07,1996-12-10,1997-02-20,"Bernstein Litowitz Berger & Grossmann LLP (Former New York)1285 Avenue of the Americas, 33rd Floor, Bernstein Litowitz Berger & Grossmann LLP (Former New York), NY 10019212.554.1400 212.554.1444 · blbg@blbglaw.com"," S.D. New York"," 97-CV-2447"," Hon. John F. Keenan",1999-03-08,1996-12-10,1997-02-20,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
517,NULL," Candie's 
								  
",Settled,1999-05-17,2000-07-13,NULL," Consumer Cyclical"," Footwear"," CAND"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 99-CV-3618"," Hon. Coll",1999-05-17,1997-05-28,1999-05-12,"Kaplan Fox & Kilsheimer, LLP (former New York, NY)805 Third Avenue, 22nd Floor, Kaplan Fox & Kilsheimer, LLP (former New York, NY), NY 10022212.687.1980 212.687.7714 · info@kaplanfox.com"," S.D. New York"," 99-CV-3618"," Hon. Colleen McMahon",1999-08-24,1997-05-28,1999-05-12,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
518,NULL," Misc 
								  
",Settled,1999-02-17,2002-09-23,NULL," Financial"," Investment Services"," "," Public (Listed)"," United States"," "," E.D. Louisiana"," 99-CV-00020"," Hon. Thom",1999-02-17,1996-02-01,1999-02-17,"Allan Kanner & Associates, PLLC.701 Camp Street, Allan Kanner & Associates, PLLC., LA 70130504.524.5777 504.524-5763 · info@kanner-law.com"," E.D. Louisiana"," 99-CV-02840"," Hon. Thomas K. Moore",1999-09-16,1985-02-01,1995-02-01,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
519,NULL," Advanced NMR 
								  
",Settled,1998-01-05,1999-04-08,NULL," Healthcare"," Medical Equipment & Supplies"," CAPR"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-10002"," Hon. Robe",1998-01-05,1994-08-10,1997-12-12,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. Massachusetts"," 98-CV-10002"," Hon. Robert E. Keeton",1998-06-23,1994-08-10,1997-12-12,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520,NULL," Molten Metal Technologies, Inc. 
								  
",Settled,1998-01-28,2001-08-09,NULL," Basic Materials"," Metal Mining"," MLTN"," Privately Held"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-10161"," Hon. Mark",1998-01-28,1995-08-22,1996-10-18,"Shapiro Haber & Urmy LLP (Boston)75 State Street, Shapiro Haber & Urmy LLP (Boston), MA 02109617.439.3939 617.439.0134 · info@shulaw.com"," D. Massachusetts"," 98-CV-10161"," Hon. Mark L. Wolf",1998-06-04,1995-08-22,1996-10-18,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
521,NULL," Caribiner International 
								  
",Settled,1999-03-25,2001-10-26,NULL," Services"," Business Services"," CWC"," Public (Listed)"," United States"," New York SE"," S.D. New York"," 99-CV-2271"," Hon. Barb",1999-03-25,1997-07-12,1998-04-24,"Finkelstein & Krinsk LLP501 West Broadway, Suit 1250, Finkelstein & Krinsk LLP, CA 92101877.493.5366 619.238.5425 · "," S.D. New York"," 99-CV-2271"," Hon. Barbara S. Jones",2000-01-05,1997-07-12,1998-04-24,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
522,NULL," Casino Data Systems 
								  
",Settled,1996-12-24,1999-09-13,NULL," Technology"," Computer Networks"," CSDS"," Public (Listed)"," United States"," NASDAQ"," D. Nevada"," 96-CV-01191"," Hon. Lloy",1996-12-24,1996-02-07,1996-12-16,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," D. Nevada"," 96-CV-01191"," Hon. Lloyd D. George",1998-07-13,1996-08-01,1996-12-16,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
523,NULL," Sears, Roebuck & Co. 
								  
",Settled,1997-04-16,1998-08-11,NULL," Services"," Retail (Department & Discount)"," S"," Public (Listed)"," United States"," New York SE"," N.D. Illinois"," 97-CV-02567"," Hon. Geor",1997-04-16,1994-04-16,1997-04-16,"Alfred G. Yates, Jr. Law Firm429 Forbes Avenue, 519 Allegheny Building, Alfred G. Yates, Jr. Law Firm, PA 15219412.391.5164  · "," N.D. Illinois"," 97-CV-02567"," Hon. George W. Lindberg",1997-06-23,1994-04-16,1997-04-16,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
524,NULL," Cellstar Corporation 
								  
",Settled,1996-05-14,1999-01-26,NULL," Technology"," Electronic Instruments & Controls"," CLST"," Public (Listed)"," United States"," NASDAQ"," N.D. Texas"," 96-CV-1353"," Hon. Bare",1996-05-14,1995-06-27,1996-04-11,"Grant & Eisenhofer (Wilmington)1201 N. Market Street, Suite 2100, Grant & Eisenhofer (Wilmington), DE 19801302.622.7000 302.622.7100 · lawyers@gelaw.com"," N.D. Texas"," 96-CV-1353"," Hon. Barefoot Sanders",1996-10-31,1995-02-28,1996-04-12,1996,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
525,NULL," Centocor, Inc. 
								  
",Dismissed,1998-01-16,1999-12-13,NULL," Healthcare"," Biotechnology & Drugs"," CNTO"," Public (Listed)"," United States"," NASDAQ"," E.D. Pennsylvania"," 98-CV-00260"," Hon. Loui",1998-01-16,1997-12-02,1997-12-16,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," E.D. Pennsylvania"," 98-CV-00260"," Hon. Louis C. Bechtle",1998-06-02,1997-12-02,1997-12-16,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
526,NULL," Secure Computing Corporation 
								  
",Settled,1999-04-02,2002-11-22,NULL," Technology"," Software & Programming"," SCUR"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 99-CV-01927"," Hon. Clau",1999-04-02,1998-11-10,1999-03-31,"Cohen Milstein Hausfeld & Toll PLLC (Seattle WA)701 Fifth Avenue, Suite 6860, Cohen Milstein Hausfeld & Toll PLLC (Seattle WA), WA 98014206.521.0080 206.521.0166 · lawinfo@cmht.com"," N.D. California"," 99-CV-01927"," Hon. Claudia Wilken",2000-08-18,1998-11-10,1999-03-31,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
527,NULL," Century Business Services, Inc. 
								  
",Dismissed,1999-09-16,2004-05-03,NULL," Services"," Business Services"," CBIZ"," Public (Listed)"," United States"," NASDAQ"," N.D. Ohio"," 99-CV-02200"," Hon. Paul",1999-09-16,1998-02-06,1998-11-23,"Cauley Geller Bowman & Coates, LLP (Little Rock, AR)11311 Arcade Drive, Suite 200, Cauley Geller Bowman & Coates, LLP (Little Rock, AR), AR 72212  · "," N.D. Ohio"," 99-CV-02200"," Hon. Paul R. Matia",2001-09-25,1998-02-06,2000-01-28,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
528,NULL," ADAC Laboratories, Inc. 
								  
",Settled,1998-12-29,2000-09-18,NULL," Healthcare"," Medical Equipment & Supplies"," ADAC"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 98-CV-04934"," Hon. Mari",1998-12-29,1996-01-10,1998-12-28,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," N.D. California"," 98-CV-04934"," Hon. Marilyn Hall Patel",1999-07-20,1996-01-10,1998-12-28,1998,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
529,NULL," Security Dynamics Technologies, Inc. 
								  
",Settled,1998-12-09,2001-10-31,NULL," Technology"," Computer Peripherals"," SDTI"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-12496"," Hon. Will",1998-12-09,1997-09-30,1998-07-15,"Cauley Geller Bowman Coates & Rudman, LLP (New York)200 Broadhollow, Suite 406, Cauley Geller Bowman Coates & Rudman, LLP (New York), NY 11747631.367.7100 631.367.1173 · "," D. Massachusetts"," 98-CV-12496"," Hon. William G. Young",1999-06-01,1997-09-30,1998-07-15,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
530,NULL," Champion Enterprises Inc. 
								  
",Dismissed,1999-08-26,2004-01-13,NULL," Capital Goods"," Construction Services"," CHB"," Public (Listed)"," United States"," New York SE"," E.D. Michigan"," 99-CV-74231"," Hon. John",1999-08-26,1999-03-30,1999-07-29,"Glancy Binkow & GoldBerg LLP1925 Century Park East, Suite 2100, Glancy Binkow & GoldBerg LLP, CA 90067310-201-9150  · info@glancylaw.com"," E.D. Michigan"," 99-CV-74231"," Hon. John Feikens",2000-05-15,1999-03-30,1999-07-29,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
531,NULL," Segue Software 
								  
",Settled,1999-04-27,2001-08-01,NULL," Technology"," Software & Programming"," SEGU"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 99-CV-10891"," Hon. Rich",1999-04-27,1998-10-13,1999-04-09,"Wolf Popper, LLP845 Third Avenue, Wolf Popper, LLP, NY 10022-6689877.370.7703 212.486.2093 · IRRep@wolfpopper.com "," D. Massachusetts"," 99-CV-10891"," Hon. Richard G. Stearns",1999-09-27,1998-07-14,1999-04-09,1999,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
532,NULL," Chemical Investment Services Corporation 
								  
",Dismissed,1996-11-06,1997-12-30,NULL," Financial"," Consumer Financial Services"," "," Privately Held"," United States"," Privately Traded"," S.D. New York"," 96-CV-08331"," Hon. Deni",1996-11-06,1995-11-10,1996-05-09,"Kaufman Malchman Kirby & Squire, LLP919 Third Ave 11th Flr, Kaufman Malchman Kirby & Squire, LLP, NY 10022212.371.6600  · "," S.D. New York"," 96-CV-08331"," Hon. Denise L. Cote",1997-02-24,1995-11-10,1996-05-09,1996,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
533,NULL," Adams Golf, Inc. 
								  
",Settled,1999-06-11,2010-06-17,NULL," Consumer Cyclical"," Recreational Products"," ADGO"," Public (Listed)"," United States"," NASDAQ"," D. Delaware"," 99-CV-00371"," Hon. Rode",1999-06-11,1998-07-09,1999-04-12,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," D. Delaware"," 99-CV-00371"," Hon. Roderick R. McKelvie",2006-01-24,1998-07-09,1999-04-12,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL
534,NULL," Chromatics Color Sciences International Inc.  
								  
",Dismissed,1998-06-10,2000-04-26,NULL," Technology"," Scientific & Technical Instr."," CCSI"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 98-CV-4111"," Hon. Sidn",1998-06-10,1997-07-30,1998-06-09,"Wolf Popper, LLP845 Third Avenue, Wolf Popper, LLP, NY 10022-6689877.370.7703 212.486.2093 · IRRep@wolfpopper.com "," S.D. New York"," 98-CV-4111"," Hon. Sidney H. Stein",1999-01-08,1997-07-30,1998-06-09,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
